							
							
							
Остатки ТМЦ на складах							
На дату: 18.03.20							
По всем фирмам. По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По всем складам.							
ТМЦ		Ед.	"Отпускная цена
(руб.)"	МР МАГАЗИН		ПП99 Магазин	
				Кол - во	Сумма	Кол - во	Сумма
Мешки для строительного мусора 100л		шт	20.00	 	 	50.000	1'000.00
BR-7040 Коврик на присосках "Шарики" 70*40см гол,зел		шт	220.00	 	 	2.000	440.00
BR-7136А Коврик на присосках "Камушки крупные" 70*36см гол		шт	220.00	 	 	1.000	220.00
Губка "ZALEL" RF-1, 27 см		шт	60.00	 	 	4.000	240.00
Карниз для в/к белый с пруж,кольцом Zalel 110-200		шт	180.00	 	 	7.000	1'260.00
Коврик Влаговпитывающий 30*40 Бельгия		шт	250.00	 	 	2.000	500.00
Коврик легкий 22308 темнокрасный 22308		шт	190.00	 	 	2.000	380.00
Коврик придверный 100% резина  40*60		шт	240.00	 	 	2.000	480.00
Коврик придверный 100% резина  45*75		шт	290.00	 	 	2.000	580.00
Коврик придверный 3-ая Шахматка 60*90		шт	590.00	 	 	4.000	2'360.00
Коврик Шахматка 50*80		шт	420.00	 	 	3.000	1'260.00
Коврики д/ван.комн." ZALEL" 55*90 1-пр		шт	440.00	 	 	13.000	5'720.00
Коврики д/ван.комн." ZALEL" 55*90 2-пр		шт	630.00	 	 	5.000	3'150.00
Коврики д/ван.комн." ZALEL" 60*100 1-пр		шт	550.00	 	 	10.000	5'500.00
Коврики д/ван.комн." ZALEL" 60*100 2х-пр		шт	790.00	 	 	4.000	3'160.00
Корзина для г/б Божья коровка 3 цвет		шт	440.00	 	 	1.000	440.00
Крышка д/унитаза (жесткое) "Ракушка" голубой		шт	250.00	 	 	1.000	250.00
Подставка на табурет квадрат.ворсовая		шт	150.00	 	 	6.000	900.00
Чехол для гладильной доски " ДОСЕ " 130*46		шт	190.00	 	 	11.000	2'090.00
Чехол для гладильной доски " ДОСЕ " 140*52		шт	190.00	 	 	8.000	1'520.00
Шторы для в/к 100% полиэстер эконом 170*200		шт	160.00	 	 	5.000	800.00
Шторы для ван. комн.полиэстер" ZALEL" 180*200		шт	290.00	 	 	13.000	3'770.00
Кассета "Барьер-4С" (2 шт., стандарт)		шт	420.00	 	 	3.000	1'260.00
Кассета "Барьер-4С" (3 шт., стандарт)		шт	572.00	 	 	1.000	572.00
Кассета "Барьер-4С" (стандарт)		шт	200.00	 	 	1.000	200.00
Кассета "Барьер-4С" (стандарт)		шт	225.00	 	 	20.000	4'500.00
Кассета "Барьер-5Ф" (фтор)		шт	234.00	 	 	3.000	702.00
Кассета "Барьер-5Ф" (фтор)		шт	235.00	 	 	9.000	2'115.00
Кассета "Барьер-6Ж" (2 шт., умягчение)		шт	425.00	 	 	3.000	1'275.00
Кассета "Барьер-6Ж" (умягчение)		шт	220.00	 	 	7.000	1'540.00
Кассета "Барьер-7" (обезжелезивание)		шт	224.00	 	 	5.000	1'120.00
Модуль ''Аквафор"В300М(стандартный)		шт	150.00	 	 	6.000	900.00
Модуль "Аквафор" В100-15 (бактериостат.+ умягчение)		шт	132.00	 	 	2.000	264.00
Модуль "Аквафор" В100-15 (комплект 3 шт.)		шт	360.00	 	 	1.000	360.00
Модуль "Аквафор" В100-16 (умягчение+)		шт	136.00	 	 	3.000	408.00
Модуль "Аквафор" В100-25 "Максима" (2 шт., бактериостат.+ умягчение)		шт	434.00	 	 	1.000	434.00
Модуль "Аквафор" В100-25 "Максима" (бактериостат.+ умягчение)		шт	230.00	 	 	1.000	230.00
Модуль "Аквафор" В100-5 (бакт.добавка + уд.изб.жесткости)		шт	192.00	 	 	1.000	192.00
