						
						
						
Остатки ТМЦ на складах						
На дату: 24.08.20						
По всем фирмам. По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По складу "Петр.99".						
ТМЦ		Ед.	"Отпускная цена
(руб.)"	Петр.99		
				Кол - во	Сумма	
11126 / 2FGD WT*6 (10) Люстра (10218040/171016/0024801, КНР) 500339		шт	1'690.00	1.000	1'690.00	
21276MH G/2 FGD		шт	1'510.00	1.000	1'510.00	
6215/3 люстра		шт	1'990.00	1.000	1'990.00	
7013 плафон		шт	330.00	2.000	660.00	
72939/2 MIX		шт	1'450.00	1.000	1'450.00	
73443B/2W MIX (10) 601594		шт	1'200.00	1.000	1'200.00	
Ваза ВОЛНА цветные разводы		шт	310.00	1.000	310.00	
Р*  2116LM/5 501280		шт	3'200.00	1.000	3'200.00	
Р*  9520GM/2 (10218040/230516/0011608, КНР) 501159		шт	1'850.00	1.000	1'850.00	
РЕАЛ  83228/6 BK (1) 900532		шт	3'750.00	1.000	3'750.00	
Светильн.потолочн. 57364		шт	2'170.00	1.000	2'170.00	
Светильник потолочный "Лучи" (цепь) (РОССИЯ) 120015		шт	530.00	1.000	530.00	
Бита  TORX, T10, 50mm, S2, Pobedit 2621102		шт	25.00	1.000	25.00	
Бита  TORX, T10, 50mm, S2, Pobedit 2621102		шт	35.00	6.000	210.00	
Бита  TORX, T20, 50mm, S2, Pobedit 2621202		шт	40.00	8.000	320.00	
Бита  TORX, T25, 50mm, S2, Pobedit 2621252		шт	25.00	1.000	25.00	
Бита  TORX, T25, 50mm, S2, Pobedit 2621252		шт	35.00	8.000	280.00	
Бита  TORX, T30, 50mm, S2, Pobedit 2621302		шт	40.00	9.000	360.00	
Бита DELUXE.PZ 2*25мм 2616921		шт	45.00	3.000	135.00	
Движок 600*470 пластиковый 000190		шт	690.00	1.000	690.00	
Движок для снега 420*550 поликарбонат алюм.черенок 8025703		шт	1'160.00	1.000	1'160.00	
Зажим для крепления плёнки к каркасу парника, d-12 мм, 20 шт, белый // PALISAD 64427		шт	95.00	3.000	285.00	
Замок навесной Бастион-3,П-образный стальной корпус,60мм IO360		шт	290.00	1.000	290.00	
Каркас парника метал. в ПВХ  оболочке Polyagro 5м 7663305		шт	1'190.00	1.000	1'190.00	
Многофункциональный тестер напряжения MASTER.SL.12-220В 2570510		шт	115.00	1.000	115.00	
Нить капрон б/ч +цветная  50м		шт	30.00	1.000	30.00	
Отвертка крестовая диэлектр.Profi,Cr-V.Ph 1*80мм 2569180		шт	135.00	5.000	675.00	
Отвертка универс.2в1 CrV6.3*Ph2*100мм 2-комп.ручка шестигр стерж 2565011		шт	125.00	5.000	625.00	
Отвертка шлицевая диэлектр.Profi.Cr-V.SL 5.5*125мм 2569512		шт	160.00	4.000	640.00	
Парник Polyagro Lite 5м, спанбонд 32 г/м2 7663005		шт	400.00	1.000	400.00	
Парник в сборе Polyagro 8м, спанбонд 32 г/м2 7663108		шт	990.00	1.000	990.00	
Переходник на р/шл 3/4нар.резб - d-16		шт	41.00	1.000	41.00	
Переходник на р/шл 3/4нар.резб - d-16		шт	155.00	3.000	465.00	
Тиски мини 60 мм, Политех quality 2549315		шт	325.00	1.000	325.00	
Уголок крепежн.  50*90*55*2мм усиленный оцинк. (буратино 2/7) 3210503		шт	20.00	8.000	160.00	
Шланг поливочный армиров. Дача 3/4",25м/30м 7551825/7551830		шт	980.00	1.000	980.00	
Щетка-сметка со скребком FROST-IX 600мм иск.щет. 220*55мм 8004175		шт	350.00	1.000	350.00	
MAX-PRO Дрель-Шуруповерт элект. 320Вт; 0-750об/мин; подсветка ; Быстрозаж.патрон 85045		шт	2'290.00	1.000	2'290.00	
Адаптер внешний пластиковый , с хомутом . 77426		шт	180.00	1.000	180.00	
Адаптер внешний пластиковый 3/4" 77413		шт	40.00	2.000	80.00	
Адаптер внешний пластиковый 3/4"-1 77416		шт	75.00	3.000	225.00	
Адаптер внутренний пластиковый 1/2" - 5/8" - 3/4" с резьбой 3/4" 76416		шт	40.00	4.000	160.00	
Адаптер для круговых пил, 32-121мм, SDS-PLUS хвостовик. 36899		шт	210.00	1.000	210.00	
Адаптер с торцевой головкой  6x45 мм 57920М		шт	45.00	3.000	135.00	
Адаптер с торцевой головкой  7x45/7*65 мм 57921М/57926М		упак	45.00	1.000	45.00	
Адаптер с торцевой головкой  7x45/7*65 мм 57921М/57926М		упак	55.00	1.000	55.00	
Адаптер с торцевой головкой  8x65 мм 57927М		шт	60.00	1.000	60.00	
Адаптер с торцевой головкой 10*45мм/10x65 мм 57928М/57923М		шт	60.00	2.000	120.00	
Адаптеры под головки с хвостовика U-типа под биты, набор 3 шт 57953		шт	320.00	1.000	320.00	
Адаптор внутренний пластиковый 3/4" 77418		шт	35.00	1.000	35.00	
Анкер складной пружинный М5 х 100  ПРОМ 24187		шт	35.00	5.000	175.00	
Анкер складной пружинный М6 х 100  ПРОМ 24188		шт	40.00	2.000	80.00	
Анкер складной пружинный М8 х 100  ПРОМ 24189		шт	70.00	13.000	910.00	
Анкер-болт с Г-обр.крюком 10 *80мм 26678-0		шт	10.00	1.000	10.00	
Биты набор 10 шт. CrV, 25 мм 57630		шт	135.00	1.000	135.00	
Биты, сталь S2 Двухсторонние 50 мм PZ 2 / PZ 2, 10 шт 57362		шт	30.00	1.000	30.00	
Бокорезы "мини" Профи, никелированное покрытие, черно-желтые мягкие ручки,125 мм/ 115 51631/51661		шт	50.00	5.000	250.00	
Бокорезы "мини" Профи, никелированное покрытие, черно-желтые мягкие ручки,125 мм/ 115 51631/51661		шт	175.00	2.000	350.00	
Бокорезы "мини" Профи, никелированное покрытие, черно-желтые мягкие ручки,125 мм/ 115 51631/51661		шт	220.00	2.000	440.00	
Бокорезы Стандарт, красно-черная ручка, полированная сталь 165 мм 48016		шт	290.00	1.000	290.00	
Бокорезы Стандарт, красно-черная ручка, полированная сталь 190 мм 48019		шт	335.00	2.000	670.00	
Бур SDS PLUS с двойной резьбой 10*450 мм 32655		шт	180.00	1.000	180.00	
Бур по бетону  6х210 мм 33123 /32623		шт	105.00	1.000	105.00	
Бур по бетону 16x260 мм 32938 / 49-16260/49-16600		шт	625.00	1.000	625.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 10x310 мм 49-10310		упак	175.00	1.000	175.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 10x460 мм 49-10460		шт	290.00	2.000	580.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 10x600 мм 49-10600		шт	440.00	1.000	440.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 12x160 мм 49-12160		шт	140.00	1.000	140.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 12x260 мм 49-12260		шт	170.00	3.000	510.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 12x310 мм 49-12310		шт	220.00	1.000	220.00	
Бур по бетону CUTOP, Profi Plus - двойная спираль, три режущие кромки, 14x160 мм 49-14160		шт	170.00	3.000	510.00	
