						
						
						
Остатки ТМЦ на складах						
На дату: 24.09.14						
По фирме "Босенко Вероника Николаевна(Основной учет)". По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По складу "Петр.99".						
ТМЦ		Ед.	"Отпускная цена
(руб.)"	Петр.99		
				Кол - во	Сумма	
Бита  TORX, T20, 50mm, S2, Pobedit 2621202		шт	55.00	1.000	55.00	
Бита  TORX, T20, 50mm, S2, Pobedit 2621202		шт	65.00	2.000	130.00	
Бита  TORX, T30, 50mm, S2, Pobedit 2621302		шт	100.00	3.000	300.00	
Бита DELUXE.PH2*70мм 2616623		шт	60.00	2.000	120.00	
Герметик Политех 70г силик. прозрачный , унив, бытовой А01124		шт	310.00	1.000	310.00	
Движок 600*470 пластиковый 000190		шт	20.00	6.000	120.00	
Замок-мини кодовый 3-дисковый 8109002		шт	220.00	1.000	220.00	
Круг отрезной по металлу 125х1,2х22 мм Политех 5531125		шт	50.00	27.000	1'350.00	
Лопата пластик ЭКО б/ч 430*435 с оц.планкой 2740		шт	280.00	9.000	2'520.00	
Многофункциональный тестер напряжения MASTER.SL.12-220В 2570510		шт	147.00	6.000	882.00	
Нить капрон б/ч +цветная  50м		шт	50.00	1.000	50.00	
Отвертка крестовая Profi,Cr-V,PH 0*75мм 2563075		шт	150.00	3.000	450.00	
Отвертка крестовая Profi,Cr-V,PH 1*100 мм 2563110		шт	155.00	1.000	155.00	
Отвертка шлицевая Profi,Сr-V,SL3*100мм 2563310		шт	2'130.00	1.000	2'130.00	
Парник Polyagro Lite 5м, спанбонд 32 г/м2 7663005		шт	720.00	2.000	1'440.00	
Переходник на р/шл 3/4нар.резб - d-16		шт	41.00	2.000	82.00	
Пластина крепёжная 2,0мм,КР 200*65мм 3211213		шт	395.00	3.000	1'185.00	
Терка ППУ 14х23/240*120  (888)  3023710 /3023700/Лакра 1001017 1001023		шт	95.00	1.000	95.00	
Терка ППУ 14х28 1001028 /3023750		шт	105.00	1.000	105.00	
Тиски мини 60 мм, Политех quality 2549315		шт	330.00	1.000	330.00	
Тиски мини поворотные с наковальней 50 мм, Политех 2549105		шт	355.00	1.000	355.00	
Уголок крепежн.  50*90*55*2мм усиленный оцинк. (буратино 2/7) 3210503		шт	60.00	9.000	540.00	
Шланг поливочный  армиров. Сад 1/2", 15м.		шт	1'020.00	1.000	1'020.00	
Щетка для пола "Диана" 280*80мм 8004203		шт	50.00	2.000	100.00	
Адаптер с торцевой головкой  6x45 мм 57920М		шт	30.00	3.000	90.00	
Адаптеры под головки с хвостовика U-типа под биты, набор 3 шт 57953		шт	35.00	2.000	70.00	
Анкер-болт с Г-обр.крюком 10 *80мм 26678-0		шт	1.00	84.000	84.00	
Бур по бетону CUTOR,Profi Plus-двойная спираль,три пылеотводящие кромки,5*160 49-5160		шт	45.00	1.000	45.00	
Бур по бетону SDS PLUS Профи (желтый корпус)  6х110 мм 33103		шт	45.00	9.000	405.00	
Вентиляционная решетка, пластиковая, круглая, 160 мм, без сетки, белая 75076		шт	40.00	4.000	160.00	
Воронка, пластик, 19*16см 67830		шт	40.00	9.000	360.00	
Вороток (трещотка)  1/2" 62303/62363		шт	190.00	2.000	380.00	
Гвозди строительные ГОСТ 4028-63 1,6х25 (фасовка 60 гр.) 29225-2		шт	2.20	16.000	35.20	
Гвозди финишные латунированные  1,4 х 25/30/40 (фасовка 30шт../40 шт.) 31113 /31114 /31116-2		шт	2.00	4.000	8.00	
Гвозди финишные омедненные 1,4 х 25 /30 /35/40  (фасовка 40 шт.) 31118 /31119 /31120-2		шт	6.00	1.000	6.00	
Дрель-Шуруповерт Акк. 12,0В; 0-550об/мин; 10,0Нм; 1(Ni-Cd); 1,2Ач; 3-5ч.; рез. накл.; 80151		шт	1'730.00	1.000	1'730.00	
Дрель-Шуруповерт Акк. 14,4В; 0-550об/мин; 12,0Нм; 1(Ni-Cd); 1,2Ач; 3-5ч.; рез. накл.; 80152		шт	1'900.00	1.000	1'900.00	
Заглушка-самоклейка Белый/Венге/Орех по 50шт		шт	35.00	5.000	175.00	
Заклепки 4,8х12мм, 50шт. 23762		шт	50.00	1.000	50.00	
Карабин пружинный усиленный 5мм . 31474		упак	45.00	3.000	135.00	
Карабин пружинный, усиленный (DIN 5299С) 6мм 31476		шт	40.00	9.000	360.00	
Карабин пружинный,усиленный 8мм 31478		шт	50.00	8.000	400.00	
Карандаш  строительный  180мм 04311		шт	10.00	18.000	180.00	
Ключ разводной ,антискользящее покрытие рукоятки 150мм 70106 / 655024		шт	100.00	6.000	600.00	
Ключ разводной ,антискользящее покрытие рукоятки 150мм 70106 / 655024		шт	150.00	1.000	150.00	
Кольцо канализационное ., 110 мм 74711		упак	12.00	10.000	120.00	
Корщетка чашечная, со шпилькой, стальная витая проволока 65 мм 38477		шт	200.00	1.000	200.00	
Крепежная деталь к ремешку-хомуту Профи, JST 60436-0		шт	70.00	8.000	560.00	
Круги шлифовальные сплошные  (липучка), алюминий-оксидные, 125 мм (5 шт) Р100-240 39825М/39827М/39829М		шт	2.00	13.000	26.00	
Лезвие запасные д/ножа пистолетного 10шт  (18мм) 10431		шт	60.00	5.000	300.00	
Лезвия к ножам д/ковр.покр. Трапецивидное (уп10шт)  толщ.0,5мм (888)  3062005 10448		шт	30.00	4.000	120.00	
Лезвия к ножам д/ковр.покр. Трапецивидное (уп10шт)  толщ.0,5мм (888)  3062005 10448		шт	50.00	1.000	50.00	
Маска фильтрующая HP3-1101 12324		шт	40.00	8.000	320.00	
Мешки для строительного мусора особопрочные 120Л/180Л/240Л ,толщина 35мкм, 10шт 11934/11938/11942		упак	95.00	3.000	285.00	
Мышеловка,1 шт,дерево 4000198A/HF566009		шт	30.00	16.000	480.00	
Насадка для шурупов и болтов с 6-гр.гол.d13мм L48м 57942		шт	125.00	5.000	625.00	
Ножницы бытовые нержавеющие, прорезин.ручки, лезвие толщ. 1,7мм, 135 мм 67374		шт	65.00	12.000	780.00	
Ножницы, школьные 125 мм 67362		шт	35.00	10.000	350.00	
Отвертка Акк. 04,8В; 180об/мин; 02,5Нм; 1(Ni-Cd)0,8Ач; 3-5ч.; рез. накл.; подсвет.; и 80235 /80233		шт	700.00	1.000	700.00	
Отвод для стиральной машины (белый) 74516		шт	45.00	5.000	225.00	
Очки защитные с дужками прозрачные, поликарбонатные 686184		шт	70.00	4.000	280.00	
Очки защитные с дужками прозрачные, поликарбонатные 686184		шт	85.00	2.000	170.00	
Переходник , латунь 77461		шт	115.00	5.000	575.00	
Переходник для стиральной машины слив/налив 3/4" - 3/4" 74555		шт	10.00	20.000	200.00	
Плашка метрическая легированная сталь 5*0,8мм/6*1,0мм/4*0,7мм 70822/70823/70821		шт	2'120.00	1.000	2'120.00	
Плиткорез  "Эконом" 300 мм 16003		шт	715.00	1.000	715.00	
Плоскогубцы комб."мини" Профи никел.покр. 51632		шт	330.00	4.000	1'320.00	
Полотна ножовочные по металлу, высокоуглеродистая сталь, 10 шт, 150мм	Полотна ножовоч 40087		шт	20.00	10.000	200.00	
Полотна ножовочные по металлу, высокоуглеродистая сталь, 10 шт, 150мм	Полотна ножовоч 40087		шт	90.00	23.000	2'070.00	
Проволока вязальная 0,9 мм*50 м/200м 68501 /68150/68148		шт	90.00	2.000	180.00	
Рулетка "Кайт"3м*18мм 17121М		шт	60.00	3.000	180.00	
Рулетка "Кайт"5м*18мм 17122М		шт	60.00	6.000	360.00	
Саморезы для листовых пластин, наконечник-сверло 4,2 х 16 (фасовка 250 шт)	Саморезы д 22816-4		шт	140.00	8.000	1'120.00	
Саморезы для листовых пластин, наконечник-сверло 4,2 х 16 100 шт Фасовка 22816-0		упак	55.00	1.000	55.00	
Сверла/дереву (4-5-6-8-10 мм) (5шт) 36099		шт	135.00	1.000	135.00	
Стамеска с овальной деревянной ручкой 10 мм 43010		шт	110.00	1.000	110.00	
Стяжки мебельные (конфирмат) с головкой под шестигранник,7*50 ******************31021-0		шт	120.00	2.000	240.00	
Торцовая головка KRAFTOOL "INDUSTRIE QUALITAT",  1/2", 17 мм 27805-17/01		шт	70.00	2.000	140.00	
Торцовая головка KRAFTOOL "INDUSTRIE QUALITAT", 1/2", 30 мм 27805-30_z01		шт	140.00	1.000	140.00	
Торцовая головка KRAFTOOL "INDUSTRIE QUALITAT", 1/2", 32 мм 27805-32_?.01		шт	165.00	2.000	330.00	
Торцовая головка KRAFTOOL "INDUSTRIE QUALITAT", 1/2", 8 мм-16м 27805-08 z01		шт	70.00	9.000	630.00	
Торцовая головка KRAFTOOL "INDUSTRIE QUALITAT"1/2", 23 мм 27805-23 7.01		шт	100.00	2.000	200.00	
Торцовая головка ЗУБР"МАСТЕР" 21мм свеч с резин встав (1/2) хром покр 27728-2 541951 27728-2		шт	125.00	2.000	250.00	
Универсальный ремонтный комплект. 14 шт. 81195		шт	110.00	1.000	110.00	
Хомут обжимной 5" (105-1278мм) 64262		шт	18.00	12.000	216.00	
Хомут обжимной 5" (105-1278мм) 64262		шт	20.00	19.000	380.00	
Щетка для пола  "Модерн" 5-рядная 50 х 270 мм 68023		шт	105.00	10.000	1'050.00	
Щетка для пола "Эконом" 5-рядная 40 х 250 мм 68022		шт	80.00	10.000	800.00	
Щетка для пола деревянная ( тротуарная ) , овальная, 6-ти рядная, 275 мм 68044		шт	100.00	3.000	300.00	
Щетка для пола деревянная, прямоугольная, 4-х рядная, 265 мм 68040		шт	60.00	5.000	300.00	
3184 Стакан монтажный хром+стекло		шт	190.00	4.000	760.00	
3185 Мыльница монтажная хром+стекло		шт	190.00	4.000	760.00	
4007 Полка кухня на релинг		шт	390.00	1.000	390.00	
BM6940-5 Коврик на присосках "Аквариум" фотопринт		шт	330.00	2.000	660.00	
BR-6939 -1 Коврик на присосках "Корабли "69*39 гол		шт	220.00	3.000	660.00	
BR-7136А Коврик на присосках "Камушки крупные" 70*36см гол		шт	220.00	1.000	220.00	
F008 Полотенцедержатель для ванной 55 см		шт	330.00	1.000	330.00	
F012/2 Кронштейн ручка+мыльница		шт	550.00	1.000	550.00	
H102 Ведро для мусора 5 литров хром		шт	880.00	2.000	1'760.00	
ZALEL коврик под унитаз 50*60 PLATINUM **********2504		шт	180.00	2.000	360.00	
Ведро пластик 10л ZALEL		шт	100.00	3.000	300.00	
Дозатор для жид. мыла пластик(белый)		шт	230.00	3.000	690.00	
Зерк.наб. д/ван.комнат."ЕЛЕНА МХ" Белое		шт	560.00	2.000	1'120.00	
Карниз для в/к хром с пруж,с хр.кол. Zalel 110-200		шт	380.00	5.000	1'900.00	
Карниз для в/к цвет В АССОРТ.с пруж,кольцом Zalel 110-200		шт	180.00	19.000	3'420.00	
Карниз для в/к цвет В АССОРТ.с пруж,кольцом Zalel 110-200		шт	260.00	1.000	260.00	
Карниз для в/к цвет В АССОРТ.с пруж,кольцом Zalel 110-200		шт	380.00	2.000	760.00	
Кисточка кулинарная из силикона MARMITON 11156/16060		шт	70.00	7.000	490.00	
Клеёнка из вспененного ПВХ на тканой основе - (премиум 1.40m?20m)		шт	220.00	38.090	8'379.80	
Ковер "JAZZ" круг 100*100 см, песочный, с длинным ворсом VORTEX/1 22277		шт	2'470.00	1.000	2'470.00	
Коврик  Zalel 60*100 (2 пр) "  DELUXE "		шт	1'830.00	1.000	1'830.00	
Коврик  Zalel 60*100 (2 пр)Люкс "Fantastik" Lidya		шт	2'260.00	1.000	2'260.00	
Коврик MIKROFIBRE "Zalel" 60*100 (1 предмета)		шт	1'060.00	3.000	3'180.00	
Коврик влаговпитывающий, ребристый  120х150 см "VORTEX",  8 22104		шт	1'860.00	5.000	9'300.00	
Коврик влаговпитывающий, ребристый  40*60 см  SANSTEP бежевыйый. 35-037		шт	440.00	3.000	1'320.00	
Коврик влаговпитывающий, ребристый  40*60 см  SANSTEP бежевыйый. 35-037		шт	530.00	2.000	1'060.00	
Коврик влаговпитывающий, ребристый  40*60 см "VORTEX"/SANSTEPчерный. 22080 /35-033		шт	220.00	5.000	1'100.00	
Коврик влаговпитывающий, ребристый  40*60 см "VORTEX"/SANSTEPчерный. 22080 /35-033		шт	260.00	4.000	1'040.00	
Коврик влаговпитывающий, ребристый  40*60 см VORTEX зелёный 35-036 / 22079		шт	220.00	2.000	440.00	
Коврик влаговпитывающий, ребристый  40*60 см VORTEX зелёный 35-036 / 22079		шт	260.00	5.000	1'300.00	
Коврик влаговпитывающий, ребристый  40*60 см VORTEX коричневый  / 15 22078 /35-032		шт	280.00	2.000	560.00	
Коврик влаговпитывающий, ребристый  40*60 см VORTEX коричневый  / 15 22078 /35-032		шт	330.00	4.000	1'320.00	
Коврик влаговпитывающий, ребристый  40*60 см красный22077/бардовый(35-034) 22077/35-034		шт	260.00	1.000	260.00	
Коврик влаговпитывающий, ребристый  50х80 см "VORTEX",  серый. 22081		шт	320.00	1.000	320.00	
Коврик влаговпитывающий, ребристый  60х90 см "VORTEX" черный 22092  / 35-053		шт	450.00	2.000	900.00	
Коврик влаговпитывающий, ребристый  60х90 см "VORTEX", серый 22087		шт	450.00	1.000	450.00	
Коврик влаговпитывающий, ребристый  90х120 см "VORTEX",  В АССОРТ. 22096/98		шт	1'090.00	5.000	5'450.00	
Коврик влаговпитывающий, ребристый  90х120 см "VORTEX",  В АССОРТ. 22096/98		шт	1'300.00	1.000	1'300.00	
Коврик грязесборный фигурный 10мм 40*60см 20085		шт	360.00	3.000	1'080.00	
Коврик для ван. комн. “Lux Border” ПЛЮШ 50*80 (100% хлопок) (серый,коричневый)		шт	580.00	2.000	1'160.00	
Коврик комбинированый 50*80 толс.резина с мира		шт	640.00	1.000	640.00	
Коврик Люксор 55*85		шт	290.00	1.000	290.00	
Коврик пористый 40*60 см, коричневый/черный  VORTEX /20 22176/22174		шт	180.00	2.000	360.00	
Коврик пористый 50*70 см, черный /коричневый VORTEX /20 22186 /22188		шт	250.00	3.000	750.00	
Коврик пористый 50*70 см, черный /коричневый VORTEX /20 22186 /22188		шт	300.00	1.000	300.00	
Коврик пористый 60*90 см, коричневый VORTEX /10 22200		шт	350.00	1.000	350.00	
Коврик придверный "Simple" 50*80 см, (3 цвета в коробке) "VORTEX"/18 22312/22315		шт	150.00	3.000	450.00	
Коврик придверный 100% резина "КОШКА" "ПРИВЕТСТВИЕ" 45*75		шт	290.00	1.000	290.00	
Коврик придверный 100% резина "КОШКА" "ПРИВЕТСТВИЕ" 45*75		шт	340.00	4.000	1'360.00	
Коврик ТРАВКА 38*57 см ч/з;ч/к;ч/с 23001/02/03  71-000		шт	110.00	1.000	110.00	
Коврик ТРАВКА 45*60 см на ПВХ основе 24100/24102 /  75-197		шт	240.00	3.000	720.00	
Коврик универсальный закругленный		шт	430.00	2.000	860.00	
Коврик хлопковый   45х80 см, SUNSTE"/ Вологодский"  45*80 см VORTEX 20049 /33-152		шт	180.00	5.000	900.00	
Коврик хлопковый "Вологодский"  55*110 см VORTEX /10 20051		шт	280.00	7.000	1'960.00	
Коврик ЯЧЕИСТЫЙ грязесборный 50*100 VORTEX /SUNSTEP h-16мм 30-004		шт	400.00	1.000	400.00	
Кольцо для штор прозрачное/белое  по шт.		шт	3.00	60.000	180.00	
Корзина для г/б Божья коровка ,Рыбка В АССОРТ.		шт	490.00	5.000	2'450.00	
Крышка д/унитаза (жесткое) "Ракушка" белая		шт	290.00	1.000	290.00	
Крышка для унитаза  Люкс детская с ручками		шт	270.00	1.000	270.00	
Крышка для унитаза мягкая "ZALEL"фотопринт 1/12		шт	330.00	3.000	990.00	
Крышка Унитаз в сборе		шт	1'190.00	2.000	2'380.00	
Крышка Унитаз жесткий фотопринт		шт	330.00	1.000	330.00	
Крышка Унитаз жесткий фотопринт		шт	330.00	2.000	660.00	
Мыльница стекло прозрачная СР15		шт	150.00	1.000	150.00	
Набор подставок из бамбука 4шт и раскомплект		шт	10.00	12.000	120.00	
Набор подставок из бамбука 4шт и раскомплект		шт	30.00	7.000	210.00	
Окномойка "ZALEL" P-201 нерж*хром 1/50		шт	120.00	4.000	480.00	
Подставка на табурет квадрат.ворсовая		шт	150.00	8.000	1'200.00	
Полка - шкафчик Прима Нова наст (аптечка)В АССОРТ.В-11		шт	920.00	1.000	920.00	
